variable,anchor_median,other_median,ks,p
PBE gap,1.1410821601608523,1.4096596326317292,0.19083876617689988,0.0004216590448654207
HSE gap,1.6808733331839538,2.3421572548170833,0.2700366514222698,8.346259863119198e-08
m_dos CBM,0.5816933700885402,0.7669088419215738,0.14619214427037722,0.01377995636975318
thickness,3.228860218333348,4.437817294709966,0.5427735071843275,1.2531067405533034e-31
