,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu_pop,1.0228,0.0291,0.9608,1.0677,0.0081,0.0042,14.964,30.2715,1.2071
tau_pop,0.5974,0.0242,0.5657,0.6607,0.0074,0.0064,14.9489,15.0532,1.201
alpha_pbe,-0.2652,0.0409,-0.3296,-0.1813,0.0114,0.006,14.6766,22.3484,1.1883
beta_pbe,0.6085,0.0092,0.5905,0.6242,0.0012,0.0005,62.244,93.9369,1.0527
alpha_hse,0.2272,0.0607,0.129,0.3507,0.0182,0.0083,12.2064,21.6786,1.236
beta_hse,0.7434,0.0126,0.7187,0.7643,0.0026,0.0013,25.4867,30.9373,1.1028
sigma_pbe,0.1109,0.0412,0.0428,0.1672,0.0153,0.0048,8.3861,35.5869,1.4202
sigma_hse,0.2962,0.0234,0.2552,0.3334,0.0076,0.0008,9.6374,66.0646,1.3325
sigma_gw,0.2742,0.0608,0.1632,0.3828,0.0204,0.0062,9.4577,23.7014,1.3484
