uid,comp_key,gap,gap_hse,gap_gw,E_pred,E_sd,mahalanobis,in_anchor_box
4PtI2-1,I2-Pt1,1.2248896505889335,2.212097415686374,,2.8104296,0.27083966,1.5719303715108657,True
1SnSb2Te4-1,Sb2-Sn1-Te4,0.38682038923318696,0.6379718801417368,,0.87650007,0.27360553,1.4068110826256184,True
1Ag2Br2Se3As4-1,Ag2-As4-Br2-Se3,1.4369915307748982,2.5718068478317675,,3.2503827,0.2724867,2.0405249922742787,True
2CuI-1,Cu1-I1,1.786890780618711,3.359049485087538,,4.218061,0.27536312,3.73234053197454,True
1IOsPtBr5-1,Br5-I1-Os1-Pt1,0.319215570085706,0.8517973736291278,,1.0756856,0.26416755,1.0151541868417917,True
1AsISe-1,As1-I1-Se1,1.151118389274023,1.6849279007105276,2.0296108495293725,2.2290633,0.2730737,0.5415525431747608,True
4AuITe-1,Au1-I1-Te1,1.0711838555476998,1.671611246063363,,2.1875336,0.26946858,0.37219427175391895,True
2AuBr-1,Au1-Br1,1.9853378853136583,2.926366984452862,,3.814531,0.26661524,0.7678544476656018,True
1SnTe-1,Sn1-Te1,1.5823012023247234,2.0888037019408907,2.7243217762132463,2.7982197,0.2683563,0.9599095212928193,True
4HgTe-1,Hg1-Te1,0.37259408390261617,0.8990030425799269,,1.1497314,0.25524607,0.9544690532606355,True
1MoW3Te8-1,Mo1-Te8-W3,0.804370300292508,1.219551685297682,,1.626457,0.270481,0.8985641936666741,True
2AuClTe2-1,Au1-Cl1-Te2,0.9809880662166872,1.5893993826182515,,2.0612888,0.25628024,0.43946834274762325,True
2IRe3Te4-1,I1-Re3-Te4,0.37548648906293547,0.8938718800707557,,1.146901,0.2713449,0.944482348495858,True
2IrI3-1,I3-Ir1,1.3583279291195096,2.44952720392535,,3.1132748,0.25727096,1.914538894761232,True
2PdI2O6-1,I2-O6-Pd1,1.0340324929072118,2.7319895435749584,,3.3213396,0.27938938,4.984044917968343,True
1As2Pd3Se8-1,As2-Pd3-Se8,0.845212853922142,1.6011001769643713,,2.0507123,0.26160982,0.9980615230512072,True
2PtTeS3-1,Pt1-S3-Te1,0.7235853278647089,1.7309728435120988,,2.1321404,0.26225138,2.188293002870021,True
4GePSe-1,Ge1-P1-Se1,1.674946275612423,2.432913902108366,,3.1900737,0.27339047,0.16590315851857831,True
1Ag2I2S3Sb4-1,Ag2-I2-S3-Sb4,1.348754147696162,2.166631736009151,,2.810696,0.26434687,0.6846905451137615,True
1MoCr3Te8-1,Cr3-Mo1-Te8,0.46685327591123404,0.8929783349262663,,1.1878053,0.26862532,0.9190314454976516,True
1CSiH2-1,C1-H2-Si1,3.7813909449306236,4.870741622325641,6.354739183620055,6.4565043,0.26514867,1.8549206719503422,True
1Br2Cu2Se3P4-1,Br2-Cu2-P4-Se3,0.9604227490230404,2.556187498198589,,3.0969954,0.27244234,4.5896211786756735,True
1P2Ni3Se8-1,Ni3-P2-Se8,0.6999412689683178,1.9758756136377245,,2.3858135,0.2839256,3.4035564256193993,True
1CuSbP2Se6-1,Cu1-P2-Sb1-Se6,1.0493088977583427,1.9122821994821986,,2.4348073,0.2649531,1.2043086671241048,True
2CuISe2-1,Cu1-I1-Se2,0.7907959436364227,2.0992287120099764,,2.5533972,0.27534002,3.456645655781218,True
2P2S3-1,P2-S3,2.2610064878933915,3.271936278262573,,4.263564,0.26521918,0.9563816944156114,True
