cbm_warping,cbm_barrier,cbm_anisotropy,vbm_warping,vbm_barrier,vbm_anisotropy,cbm_rel,cbm_ratio,cbm_parabolic,vbm_rel,vbm_ratio,vbm_parabolic,uid,formula
0.0007003676224374073,False,1.6781752578625362,-0.01788068154604266,False,2.100454994252617,0.0,1.0,True,0.004632350492356881,0.9953676495076431,True,2ScF3-1,F6Sc2
1.5211552617281624e-05,False,1.0000779215597229,-9.56686278840798e-05,False,1.0002571135544225,1.4337653767228284e-16,0.9999999999999999,True,0.0,1.0,True,2FOY-1,O2F2Y2
0.00010444393372300935,False,1.3186343199191877,-0.003190678933434348,False,2.945724628693409,0.0,1.0,True,0.008807206925279289,1.0088072069252794,True,2FOSc-1,O2F2Sc2
1.6789202204986016e-05,False,1.0000208348733446,-0.011948334392551016,False,2.4813226948405367,0.0,1.0,True,0.048843894892027694,0.9511561051079723,False,1MgF2-1,F2Mg
0.10604667132812907,False,1.3711991360376161,-0.06272515373225775,True,1.9429001171449758,8.828969138850449e-07,0.9999991171030861,True,3.135046074658535e-05,0.9999686495392535,True,2KTaF6-1,F12K2Ta2
0.0002184417159121646,False,1.000000000012203,-0.005189814176827409,False,1.4472579500158467,1.1123787831702573e-16,0.9999999999999999,True,0.043758023204697294,1.0437580232046972,False,2BaClF-1,F2Cl2Ba2
0.00019693693109308744,False,1.000000000104032,-0.0004740935304250484,False,1.2262427398566105,1.138797881971172e-16,1.0000000000000002,True,0.0,1.0,True,2ClFSr-1,F2Cl2Sr2
0.00012338258345923614,False,1.1300545038242695,-0.0011697285586927462,False,2.6465660705128036,0.0,1.0,True,1.2158868317673067e-16,1.0000000000000002,True,2AlFO-1,O2F2Al2
0.0019614733741879302,False,1.0100632773711955,-0.015534321204775386,False,1.0827370055858063,2.9628767446293538e-05,1.0000296287674464,True,0.0006774987205226178,1.0006774987205227,True,2CaClF-1,F2Cl2Ca2
3.055684755162182e-05,False,1.0001226469356632,-0.0032130262240836153,True,25.41021643717954,1.2897766223958442e-16,1.0000000000000002,True,0.02578314070044656,1.0257831407004465,False,2ClOY-1,O2Cl2Y2
0.00047533661694419406,False,1.0000000000010627,-0.0027783996885209702,False,1.015686990353985,1.1584641230628079e-16,0.9999999999999999,True,5.503694740611356e-05,0.9999449630525938,True,2BaBrF-1,F2Br2Ba2
0.0005468936346486703,False,1.0000000000002511,-0.007764670037998535,False,1.041427581186923,0.0,1.0,True,5.452931105948503e-05,1.0000545293110594,True,2BrFSr-1,F2Br2Sr2
0.004453855311559718,False,1.0224565996716715,-0.011527439053267386,False,1.0599298885951107,4.089529075734566e-05,0.9999591047092427,True,0.000142227273530359,1.0001422272735303,True,2BrCaF-1,F2Ca2Br2
0.0005985984445970809,False,3.682417234942723,-0.00030559545690540184,True,3.315847709936533,1.4555675670871272e-16,1.0000000000000002,True,0.0,1.0,True,2ClOSc-1,O2Cl2Sc2
0.00023482059722567536,False,1.3173031746897081,-0.006348155198331755,False,1.993694840440037,0.0,1.0,True,0.021606062755554278,1.0216060627555543,False,1BaP2F12-1,F12P2Ba
1.60864490206028e-05,False,1.0000007032586613,-4.254194724393123e-06,False,1.0069530143762395,0.0,1.0,True,1.9242269858552715e-16,1.0000000000000002,True,2BrOY-1,O2Br2Y2
0.005181935947253175,False,1.021307366692835,-9.845444372271576e-05,False,1.000669496972535,0.0032933739555464736,0.9967066260444535,True,0.0,1.0,True,1TiF2-1,F2Ti
0.0004903172697698706,False,1.164390249741045,-0.009603938358974556,False,2.2247279446472517,1.5948488494758336e-16,0.9999999999999999,True,0.01658055288623945,0.9834194471137605,True,1SrP2F12-1,F12P2Sr
0.0009227519770547214,False,1.0000000000697626,-0.003727672352997963,False,1.0181521342056552,1.2674037344095844e-16,1.0000000000000002,True,0.00013720821137514532,1.000137208211375,True,2BaFI-1,F2I2Ba2
0.0026786401785547764,False,7.5873387463943835,-0.0009078413809665109,True,9.872862872689085,0.012991409091092606,1.0129914090910925,True,1.6645762677427958e-16,1.0000000000000002,True,2TiO2-1,O4Ti2
0.05641279093604478,False,4.674154992437728,-0.0026107363506409683,False,3.1743127041955135,0.10776030821945075,1.1077603082194507,False,0.022482542177436445,1.0224825421774364,False,2CaSn2F6-1,F12Ca2Sn4
0.0015145502426317458,False,1.0076550845880912,-0.006191921258791571,False,1.0324073929312052,6.897926918011068e-07,1.0000006897926919,True,4.245190444067121e-05,0.9999575480955594,True,2FISr-1,F2Sr2I2
0.08213973470246905,True,1.7591267575313494,-0.0015574999638292234,False,3.483607002572606,9.874773768243194e-05,0.9999012522623175,True,0.00016588435263289108,0.9998341156473671,True,2CaGe2F6-1,F12Ca2Ge4
0.008210842436153509,False,1.0000000392211228,-0.008444787520357697,False,1.000000000005377,2.1174904374033644e-16,1.0000000000000002,True,0.0,1.0,True,2CaFI-1,F2Ca2I2
0.00407198245614714,True,2.250606627706857,-0.00038804766781237266,False,2.280532034933464,0.0155223859139392,0.9844776140860608,True,1.274668527945316e-16,0.9999999999999999,True,2FSSc-1,F2S2Sc2
0.0006120409451471445,False,2.5092543201472255,-0.00015313649986428403,True,3.886938870879919,0.0,1.0,True,0.0,1.0,True,2BrOSc-1,O2Sc2Br2
0.0005388564468528648,False,1.052429491680999,-0.005299927665769548,False,2.852401443408179,1.187689733469265e-16,0.9999999999999999,True,0.006375825878046804,0.9936241741219531,True,1BaSb2F12-1,F12Sb2Ba
0.0004690472362834615,False,1.1327867360034738,-0.005537235342903086,False,2.1815447604362515,1.2542534796643277e-16,0.9999999999999999,True,0.035690259184388284,1.0356902591843884,False,1SrSb2F12-1,F12SrSb2
0.0004266485347733476,False,1.0004911954757487,-1.2259720304218495e-06,False,1.0019040185539771,1.2993142259895436e-16,0.9999999999999999,True,1.3073962111713672e-16,1.0000000000000002,True,2IOY-1,O2Y2I2
0.0028300674395159977,True,3.3987311087688776,-0.0002893744108201544,False,2.327264554943198,8.836467116271143e-09,0.9999999911635329,True,0.0,1.0,True,2FScSe-1,F2Sc2Se2
0.0007030788664460769,False,1.0154909367788272,-0.005068236520387904,False,2.65101930529393,0.0,1.0,True,0.03273305028779727,1.0327330502877974,False,1BaAs2F12-1,F12As2Ba
0.0009760614923316473,False,1.0035985132271712,-0.0003455290432929582,False,1.0019891836468047,0.0,1.0,True,1.13469356610881e-16,1.0000000000000002,True,1TeNb3F7-1,F7Nb3Te
0.0004922883262164879,False,1.1404316382441537,-0.006394135839707749,False,2.48719896744453,0.0,1.0,True,5.016770910925313e-05,0.9999498322908907,True,1SrAs2F12-1,F12As2Sr
0.00048143024772681836,True,2.4851671049193174,-0.000456815747054183,False,3.134774239011567,0.0,1.0,True,2.1183938763395166e-16,1.0000000000000002,True,4IOSc-1,O4Sc4I4
0.0035819068661713444,False,1.6164969840049461,-0.002829764179651227,False,1.4926759907541565,0.01975780748685231,1.0197578074868523,True,0.008731829213792532,1.0087318292137926,True,2WF2O2-1,O4F4W2
0.0013866981948124617,False,2.289569168192223,-0.0023437034345189295,False,1.0803431556977805,0.0,1.0,True,0.0034622454642096695,1.0034622454642097,True,4FNZr-1,N4F4Zr4
4.949182187817353e-05,False,10.207920037224126,-0.0015531310804364155,False,2.042429129228121,0.0,1.0,True,1.5917901682258513e-16,1.0000000000000002,True,2FHfN-1,N2F2Hf2
5.570797831914275e-06,False,1.0017522047269711,-0.0006401764618305706,False,3.6687667647761883,0.0,1.0,True,2.0018724898333984e-16,0.9999999999999998,True,1HfW2O8-1,O8HfW2
5.264575056353732e-06,False,1.0019213118173622,-0.0009578631695850811,False,3.7148837132894617,0.0,1.0,True,2.062571964810874e-16,1.0000000000000002,True,1ZrW2O8-1,O8ZrW2
0.00024087631651222098,False,1.0001116319195196,-0.0015647537950948366,False,1.035489173435011,1.9749260491740425e-16,0.9999999999999998,True,0.002194973935712254,0.9978050260642878,True,2FNZr-1,N2F2Zr2
0.0032638305249063156,False,5.627861452265024,-0.00018196228979954548,False,1.0385749258940922,0.006529366592504056,0.993470633407496,True,0.0,1.0,True,1CF2Sc2-1,CF2Sc2
2.9691272553321865e-05,False,1.0004675113741797,-0.0010821060400492048,True,40.069777002168344,0.0,1.0,True,2.0777457952115624e-16,1.0000000000000002,True,1Ta2W2O11-1,O11Ta2W2
5.799812092220018e-06,False,1.0003085021574656,-0.0003050778595192947,False,3.271956063615603,0.0,1.0,True,1.6815571162972632e-16,1.0000000000000002,True,1BaCl2-1,Cl2Ba
0.002828162744343336,False,4.93796401849609,-0.00011117146785078688,False,1.0026681761510077,0.005791710039079536,0.9942082899609205,True,0.0,1.0,True,1CF2Y2-1,CF2Y2
0.0009284506683942379,True,1.3675239953353755,-0.0007386138076014066,True,7.882642911450578,1.1131916874074699e-16,0.9999999999999999,True,0.0,1.0,True,2ZrO3-1,O6Zr2
5.946707000535563e-06,False,1.0005706905261291,-0.0005446611719975876,False,4.896517644070203,0.0,1.0,True,0.0,1.0,True,1HfMo2O8-1,O8Mo2Hf
1.76520204832121e-05,False,1.0120395653307133,-0.000699502612488965,False,4.912468876312239,0.0,1.0,True,1.1502328353866768e-16,0.9999999999999999,True,1ZrMo2O8-1,O8ZrMo2
0.0034379112185206812,False,1.0975282468505527,-0.00014829686660948433,False,1.002675334340476,0.004575366540719217,0.9954246334592808,True,0.0,1.0,True,2SbScO3-1,O6Sc2Sb2
5.185636612875285e-06,False,1.0002418769124586,-0.0007243570208202562,False,4.982609077877895,0.0,1.0,True,0.0,1.0,True,1SrCl2-1,Cl2Sr
0.008175441778395647,False,7.056591992130117,-0.0012521034546054423,False,1.0019482417730776,0.021433220567785915,0.978566779432214,False,0.0,1.0,True,2SbF3-1,F6Sb2
